"S.NO.","English","Spanish"
39,"Events","Eventos"
40,"Progress","Progreso"
41,"Continue","Continuar"
42,"Your social life \n Organize your hangouts, parties, \n matches and events. Fast &amp; easy!","Tu vida social \n Organiza tus quedadas, fiestas, \n partidos y eventos fácil y \n rápidamente."
43,"Your social life","Tu vida social"
44,"No fuss \n All your plans in one place. Every \n detail always updated.","Sin líos \n Todos tus planes en un solo lugar y \n todos los detalles actualizados al \n momento."
45,"No fuss ","Sin líos"
46,"Always up to date \n Find out whoâ€™s coming, chat with \n other guests and share photos after \n the hangout.","Siempre a la última \n Entérate de quién va, chatea con el \n resto de invitados y comparte las \n fotos de la quedada."
47,"Always up to date ","Siempre a la última "
48,"Name","Nombre"
49,"Status","Estado"
50,"Email","Correo electrónico"
51,"Date of Birth","Fecha de nacimiento"
52,"Gender","Género"
53,"Male","Hombre"
54,"Female","Mujer"
55,"Import from Facebook","Importar de Facebook"
56,"Add profile pic","Añadir foto de perfil"
57,"Save","Guardar"
58,"Select Picture","Seleccionar foto"
59,"Enter valid date of birth","Introducir fecha de nacimiento válida"
60,"Enter valid email id","Introducir ID de correo electrónico válida"
61,"Profile updated successfully.","El perfil se ha actualizado correctamente."
62,"Location","Ubicación"
63,"Create Contact","Crear contacto"
64,"First Name","Nombre"
65,"Last Name","Apellidos"
66,"Phone Number","Número de teléfono"
67,"Verification code has been\n sent to","Se ha enviado un código\n de verificación a"
68,"Enter Code","Introducir código"
69,"Submit","Enviar"
70,"Reset Event Date and Time","Restablecer fecha y hora del evento"
71,"Help","Ayuda"
72,"Profile","Perfil"
73,"Account","Cuenta"
74,"Contacts","Contactos"
75,"Event settings","Configuración del evento"
76,"Notifications","Notificaciones"
77,"Default applications","Aplicaciones predeterminadas"
78,"Privacy","Privacidad"
79,"Change number","Cambiar número"
80,"Network usage","Uso de red"
81,"Payment","Pago"
82,"Delete my account","Eliminar mi cuenta"
83,"Enter is send","Al pulsar Intro, se enviará"
84,"Enter key will add new line","Al pulsar Intro, se añadirá una línea nueva"
85,"Enter key send message","Al pulsar Intro, enviar mensaje"
86,"Media auto-download","Descarga automática de archivos multimedia"
87,"Chat Setting","Configuración de chat"
88,"Font size:","Tamaño de la fuente:"
89,"Font size for conversation screen","Tamaño de fuente de la pantalla de conversación"
90,"Wallpaper","Fondo"
91,"Tell a friend","Contárselo a un amigo"
92,"Pay for a friend","Pagar por un amigo"
93,"Show all contacts","Mostrar todos los contactos"
94,"Enable to also use hidden contacts","Permitir el uso de contacto ocultos"
95,"When using mobile data","Al utilizar datos móviles"
96,"No media","Ningún archivo multimedia"
97,"When connected on Wi-fi","Al conectarse por Wi-fi"
98,"All media","Todos los archivos multimedia"
99,"When roaming","En itinerancia"
100,"Messages sent:","Mensajes enviados:"
101,"Messages received:","Mensajes recibidos:"
102,"Media bytes sent:","Bytes de archivos multimedia enviados:"
103,"Media bytes received:","Bytes de archivos multimedia recibidos:"
104,"Message bytes sent:","Bytes de mensajes enviados:"
105,"Message bytes received:","Bytes de mensajes recibidos:"
106,"Total bytes sent:","Total de bytes enviados:"
107,"Total bytes received:","Total de bytes recibidos:"
108,"Reset statistics","Restablecer estadísticas"
109,"&#160;messages","&#160;mensajes"
110,"&#160;message","&#160;mensaje"
111,"Alert","Alerta"
112,"Notification tone","Tono de notificación"
113,"Upcoming Event","Evento próximo"
114,"Select a sound to play for a new notification message","Selecciona un sonido para cuando recibas un mensaje de notificación nuevo"
115,"Select hours to notify before an event starts","Seleccionar horas para notificar antes de que un evento comience"
116,"About","Acerca de"
117,"FAQ","Preguntas frecuentes"
118,"System status","Estado del sistema"
119,"Report a problem","Informar de un problema"
120,"Â© 2016 SeeYouAll \n All rights reserved.","&#169; 2016 SeeYouAll \n Todos los derechos reservados."
121,"SeeYouAll Application","Aplicación SeeYouAll"
122,"number","número"
123,"Enter Name","Introducir nombre"
124,"You cannot invite this person.","No puedes invitar a esta persona."
125,"<u>Wrong Number?</u>","<u>¿Número incorrecto?</u>"
126,"Click here to edit","Haga clic aquí para editar"
127,"Add","Añadir"
128,"Select Changes","Seleccionar cambios"
129,"Please enter a Title for the event","Por favor, introduzca un título para el evento"
130,"Please enter a title for the group","Por favor, introduzca un título para el grupo"
131,"This Name already Exist","Este nombre ya existe"
132,"Please Enter Valid Number","Introduce un número válido"
133,"Contact Not Updated","Contacto no actualizado"
134,"This name is already exist","Este nombre ya existe"
135,"Add Contacts to Group ","Añadir contactos al grupo "
136,"Delete","Borrar"
137,"Update","Actualizar"
138,"Hello blank fragment","Fragmento vacío de bienvenida"
139,"From Camera","De Cámara"
140,"From Gallery","De Galería"
141,"No Dress Code","No hay código de vestimenta"
142,"Business Formal","Formal"
143,"Business Casual","Business Casual"
144,"Sport Casual","Informal"
145,"Costume","Disfraz"
146,"Edit Group","Editar grupo"
147,"SIM Card Absent","No hay tarjeta SIM"
148,"Save","Guardar"
149,"Select Image from","Seleccionar imagen de"
150,"First Name","Nombre"
151,"Data Not Updated","Datos no actualizados"
152,"Group Detail","Detalle del grupo"
153,"%1$s is not a valid mobile number for the country: %2$s.","%1$s no es un número de teléfono móvil válido para el país: %2$s."
154,"Wrong verification code.","Código de verificación incorrecto."
155,"Resend Code","Volver a enviar código"
156,"Text Field cannot be empty","El campo de texto no puede estar vacío"
157,"Registration successful !!!","Te has registrado correctamente."
158,"Events","Eventos"
159,"Events","Eventos"
160,"Settings","Configuración"
161,"Events","Eventos"
162,"Change Group Icon","Cambiar icono del grupo"
163,"Group Icon","Icono del grupo"
164,"Participant :","Participante:"
165,"Add Group Icon","Añadir icono del grupo"
166,"\""\ %s\"" Group created successfully","El grupo \""\ %s\"" se ha creado correctamente"
167,"\""\ %s\"" Group updated successfully","El grupo \""\ %s\"" se ha actualizado correctamente"
168,"Group Name","Nombre del grupo"
169,"Please enter your phone number.","Introduce tu número de teléfono."
170,"Unable to detect network. Please check connectivity and try again.","No se ha podido detectar la red. Comprueba la conectividad y vuelve a intentarlo."
171,"Search","Buscar"
172,"Group Name","Nombre del grupo"
173,"Location","Ubicación"
174,"Search","Buscar"
175,"Done","Listo"
176,"Enable GPS to get current location ?","¿Habilitar GPS para obtener la ubicación actual?"
177,"YES","SÍ"
178,"NO","NO"
179,"Title (ex:Anna\'s Birthday)","Título (por ejemplo: Cumpleaños de María)"
180,"Description (optional)","Descripción (opcional)"
181,"Location (optional)","Lugar (opcional)"
182,"All Day","Todo el día"
183,"Calendar (check your availability)","Calendario (comprueba tu disponibilidad)"
184,"Start Time","Hora de inicio"
185,"Start Date\n(optional)","Fecha de inicio (opcional)"
186,"End Date\n(optional)","Fecha de finalización (opcional)"
187,"End Time","Hora de finalización"
188,"Advance Options","Opciones avanzadas"
189,"Invite Contacts","Invitar a contactos"
190,"DatePicker","DatePicker"
191,"Last Date to Confirm","Última fecha para confirmar"
192,"Ask for number of guests bringing","Preguntar número de acompañantes"
193,"Cost (optional)","Coste (opcional)"
194,"Make RSVP for kids or adult","Enviar confirmación para niños o adulto"
195,"Limit RSVP to Yes or No","Limitar confirmación a Sí o No"
196,"Maximum Capacity (optional)","Capacidad máxima (opcional)"
197,"Block Seat for your guest (optional)","Bloquear plaza para tu acompañante (opcional)"
198,"Allowing Voting","Permitir votación"
199,"Hide Guest List","Ocultar lista de invitados"
200,"Chat","Chat"
201,"Date and Time (When)","Fecha y hora (cuándo)"
202,"Location (Where)","Lugar (dónde)"
203,"Description (What to do)","Descripción (qué hacer)"
204,"Next","Siguiente"
205,"Create Event &amp; Send Invites","Crear evento y enviar invitaciones"
206,"Update Invites","Actualizar invitaciones"
207,"Add Details Now","Añadir fechas, ubicación y más"
208,"Add Details Later","Añadir detalles después"
209,"Please select end date first!","Seleccione primero la fecha de finalización."
210,"Please select start date first!","Selecciona primero la fecha de inicio."
211,"Last date to confirm is not valid!","El valor de Última fecha para confirmar no es válido."
212,"End Date can\'t be before start date","La fecha de finalización debe ser igual o posterior a la fecha de inicio"
213,"Date should be Today or After","La fecha no puede ser anterior a hoy"
214,"Start Date should be before end date","La fecha de inicio debe ser anterior a la fecha de finalización"
215,"Selected time can\'t be before current time","La hora seleccionada no puede ser anterior a la hora actual"
216,"Start Time can\'t be after end time","La hora de inicio no puede ser posterior a la hora de finalización"
217,"End Time can\'t be before start time","La hora de finalización no puede ser anterior a la hora de inicio"
218,"Please Confirm","Por favor, confirma"
219,"OK","Aceptar"
220,"Decline","Rechazar"
221,"This contact will be deleted permanently from your device.","Este contacto se eliminará definitivamente del dispositivo."
222,"Would you like to delete this group?","¿Quieres eliminar este grupo?"
223,"Enter Name","Introducir nombre"
224,"Search Name","Buscar nombre"
225,"Upcoming","Próximos"
226,"Past","Pasado"
227,"RSVP:","¿Vas?"
228,"RSVP:","¿Van?"
229,"is not a valid number for the country:","no es un número válido para el país:"
230,"Dress Code","Código de vestimenta"
231,"OK","Aceptar"
232,"The phone number you entered is too short for the country: %1$s.","El número de teléfono introducido es demasiado corto para el país: %1$s."
233,"The phone number you entered is too long for the country: %1$s.","El número de teléfono introducido es demasiado largo para el país: %1$s."
234,"Deadline to confirm: %1$s days","Plazo máximo para confirmar: %1$s días"
235,"In %1$s days","En %1$s días"
236,"In %1$s day","En %1$s día"
237,"In %1$s hs","En %1$s hs"
238,"In %1$s hr","En %1$s hr"
239,"In %1$s min","En %1$s min"
240,"NOW","AHORA"
241,"$/person","$/persona"
242,"Please select valid date.","Selecciona una fecha válida."
243,"Countries","Países"
244,"Search country","Buscar país"
245,"country_code","country_code"
246,"No Upcoming Events.","No hay eventos próximos."
247,"New Event","Evento nuevo"
248,"Today","Hoy"
249,"country_name","country_name"
250,"Create your own groups","Crea tus propios grupos"
251,"You haven\'t created any group yet. Create your own groups by using create group button.","Todavía no has creado ningún grupo. Haz clic en el botón Crear grupo para crear tus propios grupos."
252,"color_type","color_type"
253,"No Past Events","No hay eventos pasados"
254,"Unable to register device using GCM on server.","No es posible registrar el dispositivo usando el servicio GCM en el servidor."
255,"%1$s has been added successfully.","%1$s se ha añadido correctamente."
256,"End Date should be the Start Date or After","La fecha de finalización debe ser igual o posterior a la fecha de inicio"
257,"\t","\t"
258,"Select Event Dress Code","Seleccionar código de vestimenta del evento"
259,"No Dress Code","No hay código de vestimenta"
260,"GOING","ASISTIRÁN"
261,"MAYBE","TAL VEZ ASISTAN"
262,"NOT GOING","NO ASISTIRAN"
263,"NOT RESPONDED","NO HAN RESPONDIDO"
264,"NOT RESPONDED","NO HAS RESPONDIDO"
265,"Registration Problem","¡Vaya! Problema de registro"
266,"Registration failed please try again.","¡Vaya! Se ha producido un problema al intentar registrar el dispositivo. Borra los datos del dispositivo y vuelve a intentar registrarte."
267,"<![CDATA[Date & Time]]>","<![CDATA[Fecha y hora]]>"
268,"<![CDATA[Starts:]]>","Inicio:"
269,"<![CDATA[Ends:]]>","Fin:"
270,"EventDetailAdminActivity","EventDetailAdminActivity"
271,"RSVP (Are you going?)","Confirmación de asistencia (¿vas?)"
272,"Last date of confirmation:","Fecha límite de confirmación:"
273,"Cost","Coste"
274,"Guest List","Lista de invitados"
275,"Description","Descripción"
276,"Dress Code","Código de vestimenta"
277,"Check Availability","Comprobar disponibilidad"
278,"Edit Event","Editar evento"
279,"View Guest List","Ver lista de invitados"
280,"Edit Guest List","Editar lista de invitados"
281,"Delete Guest List","Eliminar lista de invitados"
282,"Share Event","Compartir evento"
283,"View Expenses","Ver gastos"
284,"Admin: %1$s","Admin: %1$s"
285,"You","Tú"
286,"You","Ti"
287,"Cancel","Cancelar"
288,"<![CDATA[View Event Details]]>","<![CDATA[Ver detalles del evento]]>"
289,"Repeat","Repetir"
290,"<![CDATA[View & Edit Event Details]]>","<![CDATA[Ver y editar detalles del evento]]>"
291,"Cancel Event","Cancelar evento"
292,"<![CDATA[Delete]]>","<![CDATA[Eliminar]]>"
293,"<![CDATA[Leave]]>","<![CDATA[Abandonar]]>"
294,"Assign Someone as Admin","Asignar a alguien como administrador"
295,"Send as Calendar","Enviar como calendario"
296,"Mute","Silenciar"
297,"Unmute","Anular Silenciar"
298,"View Event Details","Ver detalles del evento"
299,"Leave Event","Abandonar evento"
300,"%1$s %2$s per person","%1$s %2$s por persona"
301,"Number of guests: %1$s","Número de invitados: %1$s"
302,"Guest List","Lista de invitados"
303,"Manage Guests","Gestionar invitados"
304,"Lives in:","Vive en:"
305,"Warning","Advertencia"
306,"Do you want to discard this event?","¿Quieres descartar este evento?"
307,"Do you want to discard this group?","¿Quieres descartar este grupo?"
308,"This event is not sync with server","Este evento no está sincronizado con el servidor"
309,"Deadline to confirm: %1$s day","Plazo máximo para confirmar: %1$s día"
310,"Not Defined","No especificado."
311,"Not Defined","No especificado."
312,"No Guest list available","No hay lista de invitados disponible"
313,"Maximum capacity not defined","Capanot_defined_labelcidad máxima sin definir"
314,"Invitee List","Lista de invitados"
315,"Edit Event","Editar evento"
316,"Save Event","Guardar evento"
317,"Send Invite","Enviar invitación"
318,"Event updated successfully.","El evento se ha actualizado correctamente."
319,"Event Invite.","Invitación al evento"
320,"Please find attachment.","Ver archivo adjunto."
321,"android-support@seeyouall.com","android-support@seeyouall.com"
322,"Feedback/Question about SeeYouAll","Comentarios/preguntas acerca de SeeYouAll"
323,"Please select any status first.","Selecciona primero cualquier estado."
324,"Can\'t select seats greater than maximum allowed.","No se pueden seleccionar más plazas del máximo permitido."
325,"Delete Event","Eliminar evento"
326,"Mute","Silenciar"
327,"ChatActivity","ChatActivity"
328,"UpComming Event","Evento próximo"
329,"Type Message","Escribir mensaje"
330,"You did not change your RSVP","Por favor selecciona un estado diferente al actual."
331,"Going","Asistiré"
332,"Maybe","Tal vez asista"
333,"Not going","No asistiré"
334,"Number of Guests Bringing","Número de acompañantes"
335,"Adults","Adultos"
336,"Kids","Niños"
337,"Please first assign event to other invitee.","Primero asigne el evento a otro invitado."
338,"DescriptionSuggestionActivity","DescriptionSuggestionActivity"
339,"Are you sure you want to delete this event?","¿Estás seguro de que quieres eliminar el evento?"
340,"Are you sure you want to leave this event?","¿Estás seguro de que quieres abandonar el evento?"
341,"Are you sure you want to remove invitee.","¿Estás seguro de que quieres eliminar al invitado?"
342,"Are you really want to remove from the guestlist all the guests with RSVP %1$s.","¿Estás seguro de que quieres eliminar de la lista de invitados a todos los invitados con confirmación de asistencia %1$s?"
343,"Thanks for the rsvp, your request has been submitted. Currently you are in waiting list. We\'ll notify you soon.","Gracias por confirmar tu asistencia. La solicitud se ha enviado. Actualmente estás en lista de espera. Te informaremos en breve."
344,"Add suggestion","Añadir sugerencia"
345,"Pick as a winner","Seleccionar ganadora"
346,"Created by ","Creada por "
347,"Suggested by ","Sugerida por "
348,"Admin","Admin"
349,"Write your suggestion","Escribe tu sugerencia"
350,"suggesterID","suggesterID"
351,"suggeterContact","suggeterContact"
352,"suggetionsType","suggetionsType"
353,"<![CDATA[Start Date & Time]]>","<![CDATA[Fecha y hora de inicio]]>"
354,"<![CDATA[End Date & Time]]>","<![CDATA[Fecha y hora de finalización]]>"
355,"no description","sin descripción"
356,"no location","sin lugar"
357,"<![CDATA[Start Date]]>","<![CDATA[Fecha de inicio]]>"
358,"<![CDATA[Start Time]]>","<![CDATA[Hora de inicio]]>"
359,"<![CDATA[End Date]]>","<![CDATA[Fecha de finalizaciÃ³n]]>"
360,"<![CDATA[End Time]]>","<![CDATA[Hora de finalizaciÃ³n]]>"
361,"<![CDATA[Date & Time]]>","<![CDATA[Fecha y hora]]>"
362,"Description","Descripción"
363,"Location","Localización"
364,"Date &amp; Time","Fecha y hora"
365,"Edit Description","Editar descripción"
366,"Edit Location","Editar lugar"
367,"Edit Date &amp; Time","Editar fecha y hora"
368,"Account","Cuenta"
369,"Event settings","Configuración del evento"
370,"Contact","Contacto"
371,"Media auto - download","Descarga automática de archivos multimedia"
372,"Notifications","Notificaciones"
373,"Help","Ayuda"
374,"FAQ","Preguntas frecuentes"
375,"Change number","Cambiar número"
376,"Photo","Foto"
377,"Camera","CÃ¡mara"
378,"Audio","Audio"
379,"Contact","Contacto"
380,"File","Archivo"
381,"Location","Ubicación"
382,"Video","Vídeo"
383,"The admin has currently disabled the chat.","El administrador ha deshabilitado el chat."
384,"File size too big!! Please choose a file smaller than 10 MB","El tamaÃ±o del archivo es muy grande. Por favor, selecciona uno menor de 10 MB"
385,"Remove all MAYBE","Eliminar todos los TAL VEZ ASISTAN"
386,"max_capacity","max_capacity"
387,"Remove all NOT GOING","Eliminar todos los NO ASISTIRÁN"
388,"Remove all NOT RESPONDED","Eliminar todos los NO HAN RESPONDIDO AÚN"
389,"Please complete your profile to personalize your experience.","Por favor completa tur perfil para que podamos personalizar tu experiencia."
390,"Remind later","Recordármelo más tarde"
391,"Phone number","Número de teléfono"
392,"Status","Estado"
393,"Location","Ubicación"
394,"Gender","Género"
395,"Block","Bloquear"
396,"UnBlock","Desbloquear"
397,"Network usage","Uso de red"
398,"Unable to lock this suggestion as this suggestion is not in sync with server yet. Please try after some time","No es posible bloquear esta sugerencia porque aún no está sincronizada con el servidor. Vuelve a intentarlo más tarde"
399,"could not make connection to server","no ha podido conectarse al servidor"
400,"response could not be successfully parsed","la respuesta no se ha podido analizar correctamente"
401,"Unknown Error","Error desconocido"
402,"Authentication Problem","Problema de autenticación"
403,"Unable to detect SMS, please register again","No es posible detectar SMS. Vuelve a registrarte."
404,"Unable to find location","No es posible encontrar el lugar"
405,"Deadline has passed last date to respond!","El plazo de último fecha para responder ha finalizado."
406,"Event already started, can\'t perform RSVP now.","El evento ya ha empezado, la confirmaciÃ³n de asistencia ya no es posible"
407,"Contacts Updated","Contactos actualizados"
408,"Delete contacts from phonebook","Eliminar contactos de la libreta de direcciones"
409,"Enter correct date and time.","Introduce una fecha y una hora correctas."
410,"Enter description.","Introduce una descripción."
411,"Please wait untill event gets synced with server!","Espera hasta que el evento se sincronice con el servidor."
412,"Complete your profile","Completa tu perfil"
413,"SD card is not mounted.","La tarjeta SD no está montada."
414,"Wallpaper set","Conjunto de fondos"
415,"Whoops - your device doesn\'t support the crop action!","¡Vaya! El dispositivo no admite la acción de recorte."
416,"When using mobile data","Conectado a datos móviles"
417,"When using WiFi data","Conectado a Wi-fi"
418,"When using roaming data","En itinerancia de datos"
419,"cannot select more than %1$s files","No se pueden seleccionar más de %1$s archivos"
420,"File cannot be processed.","El archivo no se puede procesar."
421,"Cannot download message right now. Try again!","No se puede descargar el mensaje ahora. Vuelve a intentarlo."
422,"Can not cancel right now.","No se puede cancelar ahora."
423,"cannot download image/video right now. Try again!","No se puede descargar la imagen o el vídeo ahora. Vuelve a intentarlo."
424,"Image no longer exists in your phone memory.","La imagen ya no existe en la memoria del teléfono."
425,"Suggestion not synced yet","La sugerencia todavía no se ha sincronizado"
426,"Wait for vote to sync","Espera a que se sincronice el evento"
427,"No network connection.","No hay conexión de red."
428,"You have assign new admin","Has asignado a un administrador nuevo"
429,"You can not assign admin.","No puedes asignar a un administrador."
430,"You can not assign admin to non SeeYouAll members.","No puedes asignar como administrador a aquellos que no sean miembros de SeeYouAll."
431,"Remove Invitee","Eliminar invitado"
432,"Options Dialog","Cuadro de diálogo de opciones"
433,"Leave Event","Abandonar evento"
434,"Delete Event","Eliminar evento"
435,"Please enter your old country code and phone number.","Introduce el código de país y el número de teléfono anteriores."
436,"Please enter your new country code and phone number.","Introduce el código de país y el número de teléfono nuevos."
437,"current phone number","número de teléfono anterior"
438,"new phone number","número de teléfono nuevo"
439,"Please enter phone number.","Introduce tu número de teléfono."
440,"Current and new numbers can\'t be same.","El número anterior y el número nuevo no pueden coincidir."
441,"Please wait.","Por favor, espera."
442,"Sorry, can\'t change to this number. ","Lo sentimos, pero no podemos cambiarlo a este número. "
443,"Code not matched","El código no coincide"
444,"Number successfully changed","El número se ha cambiado correctamente"
445,"Confirm in: ","Confirma en: "
446,"VIEW","VISTA"
447,"<b>Event Title:</b> %1$s \n<b>Event Desc:</b> %2$s\n<b>Event Start Time:</b> %3$s\n<b>Event End Time:</b> %4$s\n<b>Event Location:</b> %5$s\n<b>Event Dress Code:</b> %6$s ","INFORMACIÓN DEL EVENTO"
448,"<b>Event Title:</b>%1$s\n<b>Start Time:</b>%2$s\n<b>End Time:</b>%3$s","INFORMACIÓN DEL EVENTO EN TWITTER"
449,"Are you sure you want to delete your account?","¿ESTÁS SEGURO DE QUE QUIERES SUPRIMIR TU CUENTA?"
450,"Delete Account","SUPRIMIR CUENTA"
451,"Add To Contacts","AÑADIR A CONTACTOS"
452,"CANCELLED","CANCELADO"
453,"Waiting","ESPERANDO"
454,"0 Kids","0 Niños"
455,"0 Adults","0 Adultos"
456,"Not Available","No está Disponible"
457,"Blocked seats without maximum capacity will not be considered!","Asientos bloqueados sin capacidad máxima"
458,"TBD","Sin decidir"
459,"Seats blocked can not exceed or equal to the maximum capacity!","Las plazas bloqueadas no pueden superar la capacidad máxima."
460,"Title","Título"
461,"ex: Ana\'s Birthday","ej: Cumpleaños de Ana"
462,"Add dates, location and more","Añadir fechas, ubicación y más"
463,"Add Details Later","Añadir detalles depués"
464,"Advanced options","Opciones avanzadas"
465,"Invite contacts","Invitar a contactos"
466,"Location","Ubicación"
467,"Make RSVP for kids/adult",
468,"Description","Descripción"
469,"Limit RSVP to Yes/No","Limitar confirmación a Sí o No"
470,"Recurrent event","Evento recurrente"
471,"optional","opcional"
472,"Maximum capacity","Capacidad máxima "
473,"Block seats for your guests","Asientos bloqueados para tus invitados"
474,"Dress code (optional)","Código de vestimenta"
475,"Allowing voting","Permitir votación"
476,"This suggestion is not synced with server yet! Vote after it gets synced with server","Esta sugerencia no está sincronizada con el servidor"
477,"Delete my account","Suprimir mi cuenta"
478,"Deleting Your Account Will:","Suprimir tu cuenta supondrá:"
479,"Delete your account from SeeYouAll","Suprimir tu cuenta de SeeYouAll"
480,"Erase your events history","Borrar tu historial de eventos"
481,"Confirm your country code and enter your phone number to delete your account.","Confirma tu número de país e introduce tu numero de teléfono para suprimir tu cuenta"
482,"Delete my account","Suprimir mi cuenta"
483,"Profile does not exist","Este perfil no existe"
484,"Email","Email"
485,"Date of birth","Fecha de nacimiento"
486,"isImageUpdateNotification",
487,"eventId",
488,"fileUrl",
489,"thumbnail",
490,"filePath",
491,"Phone Number","Número de teléfono"
492,"Add atleast one participant!","Añade por lo menos un contacto al grupo"
493,"Seats has been booked, try lesser number of seats!","Asientos reservados, intenta un numero menor de asientos"
494,"No Event Found","Ningún Evento Encontrado"
495,"Hey,\nI just downloaded SeeYouAll event managment event app,download here the SeeYouAll app and join us! %1$s","Oye,\nacabo de descargar la app de gestión de eventos SeeYouAll,descargate aqui la app y unete! %1$s"
496,"SeeYouAll","SeeYouAll"
497,"Hey,\nI just downloaded SeeYouAll event managment event app,download here the SeeYouAll app and join us! %1$s","Oye,\nacabo de descargar la app de gestión de eventos SeeYouAll. Prueba la app SeeYouAll para compartir eventos."
498,"Can only input 1 to 72 hs!","Valores válidos son entre 1 y 72h!"
499,"End Time can\'t be before current time","La Hora de Finalización no puede ser anterior a la actual"
500,"1-72 hr before an event starts","1-72 hr antes del comienzo de un evento"
501,"<html><body><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer nec odio. Praesent libero. Sed cursus ante dapibus diam. Sed nisi. Nulla quis sem at nibh elementum imperdiet. Duis sagittis ipsum. Praesent mauris. Fusce nec tellus sed augue semper porta. Mauris massa. Vestibulum lacinia arcu eget nulla. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Curabitur sodales ligula in libero.</p> <p><b>Sed dignissim lacinia nunc. Curabitur tortor.</b> Pellentesque nibh. Aenean quam. In sce</p></body></html>",
502,"http://staging.seeyouall.com/download",
503,"Enter location.","Introduce ubicación"
504,"Choose wallpaper form gallery","Elejir un fondo de la galería"
505,"Remove wallpaper","Quitar fondo"
506,"Set wallpaper","Poner fondo"
507,"WAITING","EN ESPERA"
508,"You cannot bring more than 50 guests!","Máximo 50 invitados permitidos"
509,"Navigate","Navegar"
510,"Delete","Borrar"
511,"Options","Opciones"
512,"View chat","Vista chat"
513,"Held on:","En espera:"
514,"Guest Invited:","Invitados:"
515,"Congrats!! Invites were sent!! Click on any guest to share the invite via other apps!!","¡¡FELICIDADES!! ¡¡Las invitaciones han sido enviadas!! Selecciona cualquiera de tus invitados para informarles sobre el evento a traves de otras APPs"
516,"The person with phone number %1$s has invited you to the event \""%2$s\"" Download here the SeeYouAll app to reply your friend if you are going:http://www.seeyouall.com/downloadapp/","La persona con el número de teléfono XXXX te ha invitado al evento XXXX. Descraga la aplicaión de Seeyouall para responder a tu amigo si acudirás XXXX"
517,"Join me at this #SeeYouAll Event!","¡Vente a este Evento #SeeYouAll conmigo!"
518,"System status","Estado del sistema"
519,"couldn\'t connect to server","No se pudo conectar al servidor"
520,"something went wrong","Algo ha fallado"
521,"no internet connection","Sin conexión a internet"
522,"Last synced at:","Última sincronización a las:"
523,"Special Characters not allowed in title","Caracteres especiales no permitidos en el tí­tulo"
524,"Delete group","Borrar grupo"
525,"Are you sure you want to delete this group?","¿Estás seguro de que quieres borrar este grupo?"
526,"Delete Suggestion","Borrar sugerencia"
527,"Are you sure you want to delete this suggestion?","¿Estás seguro de  que quieres borrar esta sugerencia?"
528,"Upload more pics","Añadir más fotos"
529,"Upload more videos","Añadir más videos"
530,"Copy","Copiar"
531,"selected","Seleccionado"
532,"Chat Copied","Chat copiado"
533,"Version","Versión"
534,"Chat is not available yet","El chat no está disponible todavia"
535,"Cancel Event","Cancelar evento"
536,"Select Currency","Seleccionar moneda"
537,"€/persona","€/persona"
538,"$/person","$/persona"
